GivenName,Surname,SamAccountName,UserPrincipalName,AccountPassword,OU,DisplayName,Name,Description,Department,Country,City,State,PostalCode,MobilePhone,EmailAddress
"Pol","Pino Aparicio",ppinoa,ppinoa@polideportivolizarreria.eu,z7vL$wPFMd,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Pol Pino Aparicio","Pol Pino Aparicio",Adultos,,ES,Estella,Navarra,31200,780069765,ppinoa@gmail.com
"Florentino","Conde Cuenca",fcondec,fcondec@polideportivolizarreria.eu,Rvqm&G$6wQ,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Florentino Conde Cuenca","Florentino Conde Cuenca",Adultos,,ES,Estella,Navarra,31200,706386485,fcondec@gmail.com
"Candela","Ferreiro Castillo",cferreiroc,cferreiroc@polideportivolizarreria.eu,n^D2x32CD!,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Candela Ferreiro Castillo","Candela Ferreiro Castillo",Adultos,,ES,Estella,Navarra,31200,610377281,cferreiroc@gmail.com
"Ricardo","Santos Saavedra",rsantoss,rsantoss@polideportivolizarreria.eu,Sh!3WKNDn6,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Ricardo Santos Saavedra","Ricardo Santos Saavedra",Adultos,,ES,Estella,Navarra,31200,643556818,rsantoss@gmail.com
"Elia","Miguel Font",emiguelf,emiguelf@polideportivolizarreria.eu,H5y_u9c+AK,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Elia Miguel Font","Elia Miguel Font",Adultos,,ES,Estella,Navarra,31200,712779520,emiguelf@gmail.com
"Ascensión","Serra Valle",aserrav,aserrav@polideportivolizarreria.eu,eBA@@8fSxY,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Ascensión Serra Valle","Ascensión Serra Valle",Adultos,,ES,Estella,Navarra,31200,762294000,aserrav@gmail.com
"Aurelia","Coll Aznar",acolla,acolla@polideportivolizarreria.eu,FHggZh52$e,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Aurelia Coll Aznar","Aurelia Coll Aznar",Adultos,,ES,Estella,Navarra,31200,694787737,acolla@gmail.com
"Francisco Javier","Vera Sáez",fveras,fveras@polideportivolizarreria.eu,QB7B-&pL5B,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Francisco Javier Vera Sáez","Francisco Javier Vera Sáez",Adultos,,ES,Estella,Navarra,31200,733090753,fveras@gmail.com
"Enriqueta","Rivero De La Fuente",eriverod,eriverod@polideportivolizarreria.eu,AC8Hj#T^yT,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Enriqueta Rivero De La Fuente","Enriqueta Rivero De La Fuente",Adultos,,ES,Estella,Navarra,31200,670135311,eriverod@gmail.com
"Verónica","Cuadrado Pazos",vcuadradop,vcuadradop@polideportivolizarreria.eu,atG7t8Zz-+,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Verónica Cuadrado Pazos","Verónica Cuadrado Pazos",Adultos,,ES,Estella,Navarra,31200,618287780,vcuadradop@gmail.com
"Gabriela","Mateu Tejero",gmateut,gmateut@polideportivolizarreria.eu,3euj!ZTZ5f,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Gabriela Mateu Tejero","Gabriela Mateu Tejero",Adultos,,ES,Estella,Navarra,31200,687404166,gmateut@gmail.com
"Estrella","Dorado Valls",edoradov,edoradov@polideportivolizarreria.eu,8N8&+#ywjj,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Estrella Dorado Valls","Estrella Dorado Valls",Menores,,ES,Estella,Navarra,31200,649017375,edoradov@gmail.com
"Valentina","Sevilla Olmo",vsevillao,vsevillao@polideportivolizarreria.eu,NEnkQ_6yZC,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Valentina Sevilla Olmo","Valentina Sevilla Olmo",Adultos,,ES,Estella,Navarra,31200,622542925,vsevillao@gmail.com
"Elena","Robles Amador",eroblesa,eroblesa@polideportivolizarreria.eu,2E*4hk48Vh,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Elena Robles Amador","Elena Robles Amador",Adultos,,ES,Estella,Navarra,31200,604634571,eroblesa@gmail.com
"Aránzazu","Blasco Gallego",ablascog,ablascog@polideportivolizarreria.eu,br%@Cd2YkN,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Aránzazu Blasco Gallego","Aránzazu Blasco Gallego",Adultos,,ES,Estella,Navarra,31200,615415310,ablascog@gmail.com
"Ainara","Escudero Aparicio",aescuderoa,aescuderoa@polideportivolizarreria.eu,yR?Se79pZB,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Ainara Escudero Aparicio","Ainara Escudero Aparicio",Menores,,ES,Estella,Navarra,31200,630277710,aescuderoa@gmail.com
"Ane","Alfaro Lucas",aalfarol,aalfarol@polideportivolizarreria.eu,x=3Gf92wq@,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Ane Alfaro Lucas","Ane Alfaro Lucas",Adultos,,ES,Estella,Navarra,31200,658318325,aalfarol@gmail.com
"Aina","Suarez Fuentes",asuarezf,asuarezf@polideportivolizarreria.eu,T7r?Ms^zWu,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Aina Suarez Fuentes","Aina Suarez Fuentes",Adultos,,ES,Estella,Navarra,31200,672247153,asuarezf@gmail.com
"Estela","Duran Palacios",eduranp,eduranp@polideportivolizarreria.eu,8pQtQAk?mB,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Estela Duran Palacios","Estela Duran Palacios",Adultos,,ES,Estella,Navarra,31200,794327983,eduranp@gmail.com
"Leticia","Pascual Amaya",lpascuala,lpascuala@polideportivolizarreria.eu,e7FNh-gDy-,"OU=Clientes,DC=polideportivolizarreria,DC=eu","Leticia Pascual Amaya","Leticia Pascual Amaya",Menores,,ES,Estella,Navarra,31200,741470634,lpascuala@gmail.com
